%Data collected from Android phone

@RELATION phone

%Battery
@ATTRIBUTE Batt_Voltage  		NUMERIC
@ATTRIBUTE Batt_Current   		NUMERIC
@ATTRIBUTE Batt_Temp  			NUMERIC
@ATTRIBUTE Batt_Percent_Level   NUMERIC

%Network
@ATTRIBUTE Local_TX_Packet_Delta	NUMERIC
@ATTRIBUTE Local_TX_Byte_Delta   	NUMERIC
@ATTRIBUTE Local_RX_Packet_Delta  	NUMERIC
@ATTRIBUTE Local_RX_Byte_Delta   	NUMERIC
@ATTRIBUTE Mobile_TX_Packet_Delta  	NUMERIC
@ATTRIBUTE Mobile_TX_Byte_Delta   	NUMERIC
@ATTRIBUTE Mobile_RX_Packet_Delta  	NUMERIC
@ATTRIBUTE Mobile_RX_Byte_Delta   	NUMERIC

%Memory
@ATTRIBUTE Memory_Available  	NUMERIC
@ATTRIBUTE Memory_Percentage   	NUMERIC

%CPU
@ATTRIBUTE Load_Avg_1_min	NUMERIC
@ATTRIBUTE Load_Avg_5_min  	NUMERIC
@ATTRIBUTE Load_Avg_15_min  NUMERIC
@ATTRIBUTE Running_Entities	NUMERIC
@ATTRIBUTE Total_Entities   NUMERIC

@ATTRIBUTE Class        {Normal,Infected}


@DATA
3819,2,317,1.0,8,32313,8,523,0,0,0,0,154,0.19539934,2.84,1.96,1.73,1,911,Normal
3819,2,317,1.0,43,39933,34,16801,0,0,0,0,139,0.1765507,3.02,2.03,1.76,5,931,Normal
3819,2,317,1.0,33,45145,20,7628,0,0,0,0,134,0.1703336,3.27,2.11,1.79,1,921,Normal
3878,2,327,1.0,1683,200524,2553,3465072,0,0,0,0,123,0.15604416,3.7,2.24,1.83,2,854,Normal
3878,2,327,1.0,16,201995,9,476,0,0,0,0,160,0.2028648,3.91,2.33,1.87,1,827,Normal
3878,2,327,1.0,6,202766,0,0,0,0,0,0,160,0.20288947,3.84,2.37,1.88,1,827,Normal
3878,2,327,1.0,5,203419,57,17823,0,0,0,0,166,0.21073484,3.92,2.44,1.91,1,826,Normal
3878,2,327,1.0,9,204400,3,230,0,0,0,0,166,0.21042399,3.47,2.39,1.9,1,825,Normal
3878,2,327,1.0,4,204983,1,52,0,0,0,0,165,0.20855394,3.09,2.34,1.89,1,825,Normal
3880,2,331,1.0,12,206396,7,1251,0,0,0,0,165,0.2094865,2.77,2.3,1.88,1,828,Normal
3880,2,331,1.0,4,206995,0,0,0,0,0,0,168,0.21319209,2.87,2.34,1.9,1,825,Normal
3880,2,331,1.0,3,207508,0,0,0,0,0,0,168,0.21283188,2.9,2.36,1.91,1,825,Normal
3880,2,331,1.0,6,208279,0,0,0,0,0,0,168,0.21256544,2.84,2.37,1.92,1,825,Normal
3880,2,331,1.0,16,212820,9,5305,0,0,0,0,168,0.21255064,2.56,2.32,1.91,1,825,Normal
3880,2,331,1.0,6,213591,0,0,0,0,0,0,167,0.21211149,2.61,2.34,1.92,1,825,Normal
3902,2,328,1.0,7,214612,3,578,0,0,0,0,167,0.21209669,2.93,2.41,1.95,1,825,Normal
3902,2,328,1.0,6,215383,1,52,0,0,0,0,167,0.21197334,2.63,2.37,1.94,1,824,Normal
3902,2,328,1.0,3,215896,0,0,0,0,0,0,170,0.21475129,2.38,2.32,1.93,1,825,Normal
3902,2,328,1.0,6,216667,0,0,0,0,0,0,170,0.21476115,2.41,2.33,1.93,1,825,Normal
3902,2,328,1.0,4,217250,1,89,0,0,0,0,169,0.21456379,2.41,2.33,1.94,1,825,Normal
3902,2,328,1.0,6,217965,2,94,0,0,0,0,169,0.21446018,2.59,2.37,1.96,1,825,Normal
3909,2,326,1.0,7,218808,1,517,0,0,0,0,169,0.21369538,2.67,2.39,1.97,1,829,Normal
3909,2,326,1.0,6,219751,4,630,0,0,0,0,169,0.21403089,2.63,2.4,1.97,1,826,Normal
3909,2,326,1.0,6,220522,0,0,0,0,0,0,169,0.21363123,2.46,2.37,1.97,7,830,Normal
3909,2,326,1.0,3,221035,0,0,0,0,0,0,169,0.21375458,2.31,2.34,1.96,1,826,Normal
3909,2,326,1.0,6,221806,0,0,0,0,0,0,169,0.21361643,2.59,2.39,1.98,1,826,Normal
3909,2,326,1.0,3,222319,0,0,0,0,0,0,168,0.21342893,2.64,2.41,2.0,1,826,Normal
3900,2,325,1.0,9,223329,2,133,0,0,0,0,168,0.21326609,2.39,2.37,1.98,1,826,Normal
3900,2,325,1.0,8,224420,5,682,0,0,0,0,170,0.21496347,2.74,2.44,2.01,1,826,Normal
3900,2,325,1.0,6,225191,0,0,0,0,0,0,169,0.21458353,2.47,2.39,2.0,1,826,Normal
3900,2,325,1.0,3,225704,0,0,0,0,0,0,169,0.2144207,2.24,2.35,1.99,1,826,Normal
3900,2,325,1.0,4,226303,0,0,0,0,0,0,165,0.20898814,2.12,2.32,1.98,1,836,Normal
3900,2,325,1.0,5,226988,0,0,0,0,0,0,165,0.20896347,2.19,2.32,1.99,1,836,Normal
3890,2,323,1.0,3,227501,0,0,0,0,0,0,165,0.20861314,2.48,2.38,2.01,1,835,Normal
3890,2,323,1.0,11,228860,5,1115,0,0,0,0,164,0.20820855,2.25,2.33,2.0,1,835,Normal
3890,2,323,1.0,3,229373,0,0,0,0,0,0,163,0.20698486,2.28,2.34,2.01,1,835,Normal
3890,2,323,1.0,382,260982,494,692732,0,0,0,0,162,0.20468552,2.38,2.36,2.02,3,845,Normal
3890,2,323,1.0,388,288445,1156,1646372,0,0,0,0,160,0.20275131,2.16,2.32,2.01,1,841,Normal
3890,2,323,1.0,75,296036,65,79604,0,0,0,0,167,0.2112332,1.99,2.27,2.0,1,836,Normal
3899,2,322,1.0,3,296549,0,0,0,0,0,0,167,0.21094702,2.14,2.3,2.01,1,836,Normal
3899,2,322,1.0,11,297898,5,682,0,0,0,0,166,0.21089275,2.45,2.35,2.03,2,836,Normal
3899,2,322,1.0,3,298411,0,0,0,0,0,0,167,0.21179077,2.46,2.36,2.03,1,836,Normal
3899,2,322,1.0,4,299010,0,0,0,0,0,0,167,0.21163781,2.69,2.41,2.05,1,836,Normal
3899,2,322,1.0,5,299695,0,0,0,0,0,0,168,0.21232367,2.43,2.37,2.04,1,836,Normal
3899,2,322,1.0,3,300208,0,0,0,0,0,0,167,0.2119388,2.21,2.32,2.03,1,836,Normal
3892,2,321,1.0,6,300979,0,0,0,0,0,0,167,0.21163288,2.18,2.31,2.03,1,836,Normal
3892,2,321,1.0,8,302080,5,1163,0,0,0,0,168,0.21275787,2.0,2.27,2.02,1,836,Normal
3892,2,321,1.0,6,302851,0,0,0,0,0,0,168,0.21271347,2.09,2.28,2.03,1,836,Normal
