%Data collected from Android phone

@RELATION phone

%Battery
@ATTRIBUTE Batt_Voltage  		NUMERIC
@ATTRIBUTE Batt_Temp  			NUMERIC
@ATTRIBUTE Batt_Percent_Level   NUMERIC

%Network
@ATTRIBUTE Local_TX_Packet_Delta	NUMERIC
@ATTRIBUTE Local_TX_Byte_Delta   	NUMERIC
@ATTRIBUTE Local_RX_Packet_Delta  	NUMERIC
@ATTRIBUTE Local_RX_Byte_Delta   	NUMERIC
@ATTRIBUTE Mobile_TX_Packet_Delta  	NUMERIC
@ATTRIBUTE Mobile_TX_Byte_Delta   	NUMERIC
@ATTRIBUTE Mobile_RX_Packet_Delta  	NUMERIC
@ATTRIBUTE Mobile_RX_Byte_Delta   	NUMERIC

%Memory
@ATTRIBUTE Memory_Available  	NUMERIC
@ATTRIBUTE Memory_Percentage   	NUMERIC

%CPU
@ATTRIBUTE Load_Avg_1_min	NUMERIC
@ATTRIBUTE Load_Avg_5_min  	NUMERIC
@ATTRIBUTE Load_Avg_15_min  NUMERIC
@ATTRIBUTE Running_Entities	NUMERIC
@ATTRIBUTE Total_Entities   NUMERIC

@ATTRIBUTE Class        {Normal,Infected}


@DATA
3916,294,0.55,3,44785,0,0,0,0,0,0,142,0.17987141,1.5,1.99,1.96,1,1064,Normal
3916,294,0.55,6,45556,0,0,0,0,0,0,142,0.18045859,1.42,1.96,1.95,1,1064,Normal
3926,294,0.55,3,46069,0,0,0,0,0,0,142,0.18036976,1.36,1.93,1.94,1,1064,Normal
3926,294,0.55,6,46840,0,0,0,0,0,0,142,0.18022174,1.38,1.91,1.94,3,1064,Normal
3926,294,0.55,3,47353,0,0,0,0,0,0,142,0.18007372,1.32,1.88,1.93,1,1064,Normal
3926,294,0.55,4,47952,0,0,0,0,0,0,144,0.18200299,1.27,1.85,1.92,4,1064,Normal
3926,294,0.55,5,48637,0,0,0,0,0,0,144,0.18211155,1.23,1.82,1.91,1,1063,Normal
3926,294,0.55,4,49220,1,52,0,0,0,0,144,0.18196352,1.42,1.85,1.91,2,1063,Normal
3928,294,0.55,7,50037,1,42,0,0,0,0,143,0.18182042,1.35,1.82,1.9,3,1063,Normal
3928,294,0.55,3,50550,0,0,0,0,0,0,143,0.18154411,1.62,1.86,1.91,2,1063,Normal
3928,294,0.55,6,51321,0,0,0,0,0,0,143,0.18139608,1.74,1.88,1.92,1,1063,Normal
3928,294,0.55,3,51834,0,0,0,0,0,0,143,0.18124805,1.63,1.85,1.91,2,1063,Normal
3928,294,0.55,6,52605,0,0,0,0,0,0,143,0.18110496,1.53,1.82,1.9,1,1063,Normal
3928,294,0.55,3,53118,0,0,0,0,0,0,143,0.18095694,1.6,1.83,1.9,1,1063,Normal
3845,282,0.55,6,53889,0,0,0,0,0,0,142,0.17986648,1.51,1.8,1.89,4,1072,Normal
3845,282,0.55,3,54402,0,0,0,0,0,0,143,0.18165267,1.43,1.77,1.88,18,1067,Normal
3817,282,0.55,4,55001,0,0,0,0,0,0,135,0.17110334,1.36,1.75,1.87,1,1077,Normal
3817,282,0.55,3,55257,2,120,0,0,0,0,135,0.17111814,1.33,1.74,1.87,410,1077,Normal
3817,282,0.55,0,55257,0,0,0,0,0,0,135,0.17101452,1.33,1.74,1.87,297,1078,Normal
3817,282,0.55,5,56103,7,754,0,0,0,0,135,0.17127603,1.33,1.74,1.87,9,1079,Normal
3817,282,0.55,25,58811,10,1047,0,0,0,0,134,0.16953427,2.24,1.92,1.93,4,1081,Normal
3817,282,0.55,2,59068,0,0,0,0,0,0,134,0.1693517,2.14,1.91,1.92,417,1081,Normal
3817,282,0.55,0,59068,0,0,0,0,0,0,133,0.16925794,2.14,1.91,1.92,1,1082,Normal
3817,282,0.55,0,59068,0,0,0,0,0,0,133,0.1684882,2.14,1.91,1.92,1,1086,Normal
3817,282,0.55,17,60866,13,1395,0,0,0,0,134,0.16927768,2.04,1.9,1.92,1,1084,Normal
3817,282,0.55,16,62605,11,1476,0,0,0,0,133,0.16872011,74.67,16.96,6.79,2,1086,Normal
3817,282,0.55,10,63676,0,0,0,0,0,0,134,0.16993393,63.42,16.45,6.74,1,1086,Normal
3817,282,0.55,4,64267,1,60,0,0,0,0,133,0.16910993,58.43,16.19,6.7,1,1087,Normal
3817,282,0.55,0,64267,0,0,0,0,0,0,133,0.16910993,58.43,16.19,6.7,1,1087,Normal
3817,282,0.55,0,64267,1,60,0,0,0,0,133,0.16871518,53.91,15.96,6.68,402,1089,Normal
3831,271,0.55,1,64353,0,0,0,0,0,0,133,0.16862144,53.91,15.96,6.68,3,1089,Normal
3831,271,0.55,0,64353,0,0,0,0,0,0,133,0.16850795,53.91,15.96,6.68,401,1089,Normal
3831,271,0.55,0,64353,0,0,0,0,0,0,133,0.16840926,53.91,15.96,6.68,314,1089,Normal
3831,271,0.55,1,64439,0,0,0,0,0,0,132,0.16753592,53.91,15.96,6.68,1,1092,Normal
3831,271,0.55,0,64439,0,0,0,0,0,0,132,0.16738296,53.91,15.96,6.68,1,1093,Normal
3831,271,0.55,1,64525,0,0,0,0,0,0,132,0.16764939,53.91,15.96,6.68,1,1093,Normal
3831,271,0.55,0,64525,0,0,0,0,0,0,132,0.16788131,53.91,15.96,6.68,1,1093,Normal
3831,271,0.55,0,64525,0,0,0,0,0,0,132,0.16721518,49.75,15.72,6.65,1,1093,Normal
3831,271,0.55,0,64525,0,0,0,0,0,0,132,0.16773821,49.75,15.72,6.65,2,1093,Normal
3831,271,0.55,5,65208,3,180,0,0,0,0,132,0.16774808,49.75,15.72,6.65,3,1089,Normal
3831,271,0.55,0,65208,1,60,0,0,0,0,132,0.16757044,46.09,15.53,6.64,398,1089,Normal
3831,271,0.55,0,65208,0,0,0,0,0,0,132,0.16754578,46.09,15.53,6.64,3,1089,Normal
3831,271,0.55,1,65379,0,0,0,0,0,0,132,0.16694874,46.09,15.53,6.64,1,1093,Normal
3831,271,0.55,9,66212,8,594,0,0,0,0,133,0.16832538,42.48,15.29,6.61,5,1088,Normal
3831,271,0.55,0,66212,0,0,0,0,0,0,133,0.16824643,42.48,15.29,6.61,408,1089,Normal
3831,271,0.55,0,66212,0,0,0,0,0,0,133,0.16815269,42.48,15.29,6.61,224,1089,Normal
3831,271,0.55,2,66554,0,0,0,0,0,0,133,0.16810334,42.48,15.29,6.61,27,1089,Normal
3831,271,0.55,0,66554,0,0,0,0,0,0,133,0.16803427,41.88,15.62,6.76,273,1089,Normal
3831,271,0.55,2,66554,0,0,0,0,0,0,132,0.16741255,41.88,15.62,6.76,6,1093,Normal
3831,271,0.55,4,67318,2,162,0,0,0,0,132,0.16773328,41.88,15.62,6.76,411,1089,Normal
3831,271,0.55,2,67660,0,0,0,0,0,0,132,0.16724972,41.88,15.62,6.76,1,1089,Normal
3831,271,0.55,3,68088,1,60,0,0,0,0,132,0.16710663,38.6,15.37,6.73,408,1089,Normal
3831,271,0.55,1,68174,0,0,0,0,0,0,131,0.1665688,38.6,15.37,6.73,1,1093,Normal
3831,271,0.55,0,68174,0,0,0,0,0,0,131,0.16666749,38.6,15.37,6.73,1,1093,Normal
3831,271,0.55,2,68431,1,60,0,0,0,0,132,0.16733854,38.6,15.37,6.73,397,1089,Normal
3831,271,0.55,2,68773,0,0,0,0,0,0,132,0.1673188,38.6,15.37,6.73,35,1089,Normal
3831,271,0.55,1,68944,0,0,0,0,0,0,132,0.1671461,38.6,15.37,6.73,109,1092,Normal
3831,271,0.55,2,69286,0,0,0,0,0,0,132,0.16684018,38.6,15.37,6.73,3,1093,Normal
3831,271,0.55,0,69286,0,0,0,0,0,0,132,0.16695367,38.6,15.37,6.73,1,1093,Normal
3831,271,0.55,0,69286,0,0,0,0,0,0,132,0.16690926,35.83,15.18,6.72,2,1093,Normal
3831,271,0.55,4,69970,0,0,0,0,0,0,132,0.16711651,35.83,15.18,6.72,2,1093,Normal
3831,271,0.55,6,70496,4,168,0,0,0,0,133,0.1691494,35.83,15.18,6.72,2,1089,Normal
3831,271,0.55,5,71113,2,90,0,0,0,0,133,0.16898656,33.04,14.95,6.69,404,1090,Normal
3831,271,0.55,57,84405,39,13923,0,0,0,0,132,0.16716091,30.56,14.73,6.66,19,1093,Normal
3831,271,0.55,91,117791,71,10556,0,0,0,0,132,0.16714117,26.01,14.28,6.6,22,1091,Normal
3835,260,0.55,20,124560,11,862,0,0,0,0,132,0.16685006,22.17,13.84,6.54,24,1091,Normal
3835,260,0.55,26,126846,6,3136,0,0,0,0,319,0.40308487,19.36,13.52,6.51,1,1084,Normal
3835,260,0.55,2,126982,2,120,0,0,0,0,319,0.40374112,19.36,13.52,6.51,365,1084,Normal
3835,260,0.55,0,126982,0,0,0,0,0,0,319,0.40370163,19.36,13.52,6.51,276,1084,Normal
3835,260,0.55,1,127153,0,0,0,0,0,0,319,0.40344507,17.97,13.33,6.49,4,1087,Normal
3835,260,0.55,9,128041,0,0,0,0,0,0,319,0.40342534,16.77,13.16,6.47,2,1084,Normal
3835,260,0.55,0,128041,0,0,0,0,0,0,319,0.4034796,16.77,13.16,6.47,1,1084,Normal
3835,260,0.55,0,128041,0,0,0,0,0,0,319,0.40331185,16.77,13.16,6.47,380,1085,Normal
3835,260,0.55,1,128140,0,0,0,0,0,0,319,0.4030602,16.77,13.16,6.47,2,1089,Normal
3835,260,0.55,0,128140,0,0,0,0,0,0,318,0.40262106,16.77,13.16,6.47,1,1089,Normal
3835,260,0.55,0,128140,0,0,0,0,0,0,319,0.40298125,16.77,13.16,6.47,1,1090,Normal
3835,260,0.55,5,128737,0,0,0,0,0,0,318,0.40284804,15.5,12.95,6.44,1,1087,Normal
3835,260,0.55,6,129319,0,0,0,0,0,0,319,0.40340558,14.34,12.76,6.41,2,1086,Normal
3835,260,0.55,1,129405,0,0,0,0,0,0,318,0.40276414,14.34,12.76,6.41,1,1089,Normal
3835,260,0.55,4,129800,0,0,0,0,0,0,319,0.4033908,14.34,12.76,6.41,1,1084,Normal
