%Data collected from Uninfected Android phone on 03/20/15 this data set is not included in training3

@RELATION phone

%Battery
@ATTRIBUTE Batt_Voltage  		NUMERIC
@ATTRIBUTE Batt_Temp  			NUMERIC
@ATTRIBUTE Batt_Percent_Level   NUMERIC

%Network
@ATTRIBUTE Local_TX_Packet_Delta	NUMERIC
@ATTRIBUTE Local_TX_Byte_Delta   	NUMERIC
@ATTRIBUTE Local_RX_Packet_Delta  	NUMERIC
@ATTRIBUTE Local_RX_Byte_Delta   	NUMERIC
@ATTRIBUTE Mobile_TX_Packet_Delta  	NUMERIC
@ATTRIBUTE Mobile_TX_Byte_Delta   	NUMERIC
@ATTRIBUTE Mobile_RX_Packet_Delta  	NUMERIC
@ATTRIBUTE Mobile_RX_Byte_Delta   	NUMERIC

%Memory
@ATTRIBUTE Memory_Available  	NUMERIC
@ATTRIBUTE Memory_Percentage   	NUMERIC

%CPU
@ATTRIBUTE Load_Avg_1_min	NUMERIC
@ATTRIBUTE Load_Avg_5_min  	NUMERIC
@ATTRIBUTE Load_Avg_15_min  NUMERIC
@ATTRIBUTE Running_Entities	NUMERIC
@ATTRIBUTE Total_Entities   NUMERIC

@ATTRIBUTE Class        {Normal,Infected}

@DATA
3694,347,0.33,3,207924,0,0,0,0,0,0,204,0.25800943,2.28,2.22,1.79,1,860,Normal
3735,342,0.33,6,208695,0,0,0,0,0,0,203,0.25753084,2.38,2.25,1.8,1,860,Normal
3735,342,0.33,6,209394,94,31935,0,0,0,0,203,0.2570818,2.8,2.34,1.84,1,860,Normal
3735,342,0.33,13,210892,7,1304,0,0,0,0,203,0.25646996,2.81,2.36,1.85,1,860,Normal
3735,342,0.33,4,211475,1,52,0,0,0,0,202,0.25603083,2.61,2.33,1.85,1,860,Normal
3735,342,0.33,6,212246,0,0,0,0,0,0,203,0.2572545,2.76,2.37,1.86,1,860,Normal
3735,342,0.33,3,212759,0,0,0,0,0,0,203,0.25688937,2.64,2.36,1.87,1,860,Normal
3744,328,0.33,6,213527,1,81,0,0,0,0,202,0.25636634,3.15,2.48,1.91,1,860,Normal
3744,328,0.33,5,214212,0,0,0,0,0,0,202,0.25607032,2.97,2.46,1.91,1,860,Normal
3744,328,0.33,25,219226,18,8029,0,0,0,0,201,0.25497985,2.82,2.45,1.91,1,860,Normal
3744,328,0.33,6,219997,0,0,0,0,0,0,201,0.25470352,2.99,2.5,1.93,1,860,Normal
3744,328,0.33,3,220510,0,0,0,0,0,0,201,0.25424466,2.75,2.46,1.93,1,860,Normal
3744,328,0.33,6,221281,0,0,0,0,0,0,201,0.25470352,2.56,2.43,1.93,1,860,Normal
3751,320,0.33,3,221794,0,0,0,0,0,0,209,0.2645078,2.4,2.4,1.92,1,859,Normal
3751,320,0.33,6,222565,0,0,0,0,0,0,208,0.26399463,2.26,2.37,1.92,1,858,Normal
3751,320,0.33,11,223852,8,1346,0,0,0,0,208,0.26364923,2.23,2.36,1.92,1,858,Normal
3751,320,0.33,6,224623,0,0,0,0,0,0,208,0.26372325,2.04,2.31,1.91,1,857,Normal
3751,320,0.33,4,225194,1,42,0,0,0,0,208,0.26320022,1.96,2.29,1.9,1,857,Normal
3751,320,0.33,4,225793,0,0,0,0,0,0,208,0.2628943,1.89,2.26,1.9,1,857,Normal
3737,313,0.32,5,226478,0,0,0,0,0,0,211,0.26675284,1.83,2.24,1.89,1,857,Normal
3737,313,0.32,3,226991,0,0,0,0,0,0,210,0.26644692,1.78,2.21,1.89,1,857,Normal
3737,313,0.32,13,228455,7,776,0,0,0,0,210,0.26593378,1.98,2.24,1.9,1,857,Normal
3737,313,0.32,3,228968,0,0,0,0,0,0,210,0.26565254,1.83,2.2,1.89,1,857,Normal
3737,313,0.32,6,229739,0,0,0,0,0,0,209,0.26511964,2.02,2.22,1.9,1,857,Normal
3737,313,0.32,3,230252,0,0,0,0,0,0,209,0.26481372,2.08,2.23,1.91,1,857,Normal
3747,307,0.32,6,231023,0,0,0,0,0,0,209,0.26474956,2.22,2.26,1.92,1,857,Normal
3747,307,0.32,3,231536,0,0,0,0,0,0,209,0.2642216,2.03,2.22,1.91,2,857,Normal
3747,307,0.32,12,232965,8,1299,0,0,0,0,208,0.26386142,2.11,2.23,1.92,1,847,Normal
3747,307,0.32,444,268425,901,1271633,0,0,0,0,207,0.26150778,2.16,2.24,1.92,1,853,Normal
3747,307,0.32,4,269024,0,0,0,0,0,0,208,0.2634667,2.06,2.21,1.92,1,853,Normal
3747,307,0.32,129,285625,118,118830,0,0,0,0,199,0.25247326,2.52,2.3,1.95,1,848,Normal
3745,303,0.32,5,286307,1,81,0,0,0,0,199,0.2521723,2.37,2.28,1.95,1,848,Normal
3745,303,0.32,6,287078,0,0,0,0,0,0,199,0.2519601,2.24,2.25,1.94,1,848,Normal
3745,303,0.32,7,288099,4,630,0,0,0,0,200,0.25309497,2.28,2.26,1.95,1,848,Normal
3745,303,0.32,6,288870,0,0,0,0,0,0,200,0.25287294,2.08,2.22,1.94,1,848,Normal
3745,303,0.32,3,289383,0,0,0,0,0,0,200,0.25264102,1.99,2.2,1.94,1,848,Normal
3745,303,0.32,6,290154,0,0,0,0,0,0,201,0.25425452,1.92,2.17,1.93,1,848,Normal
3747,299,0.32,3,290667,0,0,0,0,0,0,201,0.25409663,1.92,2.17,1.93,1,848,Normal
3747,299,0.32,6,291438,0,0,0,0,0,0,201,0.25395352,1.78,2.13,1.92,2,848,Normal
3747,299,0.32,8,292538,5,1163,0,0,0,0,200,0.25334662,1.88,2.14,1.93,1,848,Normal
3747,299,0.32,4,293137,0,0,0,0,0,0,200,0.25319368,1.89,2.14,1.93,1,848,Normal
3747,299,0.32,5,293822,0,0,0,0,0,0,200,0.25287786,2.2,2.2,1.95,1,848,Normal
3747,299,0.32,3,294335,0,0,0,0,0,0,199,0.25258675,2.17,2.19,1.95,1,848,Normal
3750,295,0.32,6,295106,0,0,0,0,0,0,199,0.25233018,2.22,2.2,1.96,1,848,Normal
3750,295,0.32,3,295619,0,0,0,0,0,0,199,0.25203413,2.18,2.19,1.96,1,848,Normal
3750,295,0.32,246,323016,225,271447,0,0,0,0,195,0.2475292,2.29,2.22,1.97,4,857,Normal
3750,295,0.32,888,387286,1552,2206306,0,0,0,0,193,0.2444996,2.16,2.19,1.97,4,861,Normal
3750,295,0.32,7,388305,0,0,0,0,0,0,194,0.24524467,2.77,2.32,2.01,4,861,Normal
3750,295,0.32,234,414919,218,229935,0,0,0,0,188,0.2387167,2.65,2.31,2.01,3,856,Normal
3736,293,0.32,5,415604,0,0,0,0,0,0,188,0.23865257,2.47,2.28,2.0,2,856,Normal
3736,293,0.32,5,416451,0,0,0,0,0,0,188,0.23843053,2.25,2.24,1.99,3,856,Normal
3736,293,0.32,10,417622,6,1215,0,0,0,0,188,0.23805553,2.21,2.23,1.99,3,856,Normal
3736,293,0.32,5,418393,0,0,0,0,0,0,188,0.2375029,2.18,2.22,1.99,3,856,Normal
3736,293,0.32,3,418906,0,0,0,0,0,0,183,0.23211475,2.0,2.18,1.98,3,859,Normal
3736,293,0.32,6,419677,0,0,0,0,0,0,187,0.236896,2.24,2.23,2.0,3,857,Normal
3739,291,0.31,5,420359,1,81,0,0,0,0,186,0.23602264,2.68,2.32,2.03,1,860,Normal
3739,291,0.31,8,421270,2,141,0,0,0,0,187,0.23635323,2.71,2.33,2.04,4,857,Normal
3739,291,0.31,7,422291,4,630,0,0,0,0,182,0.23074798,3.25,2.47,2.08,6,860,Normal
3739,291,0.31,6,423062,0,0,0,0,0,0,186,0.23579566,3.88,2.63,2.14,4,857,Normal
3739,291,0.31,3,423575,0,0,0,0,0,0,186,0.23615587,3.88,2.68,2.16,5,857,Normal
3739,291,0.31,5,424260,0,0,0,0,0,0,185,0.23377264,3.88,2.72,2.18,7,860,Normal
3738,289,0.31,4,424859,0,0,0,0,0,0,187,0.23671836,4.17,2.83,2.22,2,857,Normal
3738,289,0.31,3,425372,88,30416,0,0,0,0,187,0.23642725,4.24,2.88,2.25,6,857,Normal
3738,289,0.31,11,426731,5,1163,0,0,0,0,186,0.23576605,4.04,2.89,2.25,4,857,Normal
3738,289,0.31,4,427290,1,42,0,0,0,0,186,0.23576112,3.82,2.87,2.26,6,857,Normal
3738,289,0.31,6,428061,0,0,0,0,0,0,186,0.2354996,3.53,2.84,2.25,2,857,Normal
3738,289,0.31,3,428574,0,0,0,0,0,0,185,0.23439929,3.29,2.82,2.25,1,861,Normal
3737,288,0.31,6,429345,0,0,0,0,0,0,185,0.23478416,3.18,2.81,2.25,6,857,Normal
3737,288,0.31,3,429858,0,0,0,0,0,0,181,0.22927758,2.92,2.76,2.24,7,857,Normal
3737,288,0.31,12,431252,6,724,0,0,0,0,185,0.23421179,2.7,2.72,2.24,2,857,Normal
3737,288,0.31,3,431765,0,0,0,0,0,0,181,0.22903088,2.83,2.75,2.25,6,861,Normal
3737,288,0.31,62,441616,46,34907,0,0,0,0,208,0.2630966,2.63,2.71,2.24,3,860,Normal
3737,288,0.31,79,460264,57,16574,0,0,0,0,225,0.2851525,2.77,2.73,2.25,12,874,Normal
3650,290,0.31,175,502622,133,100090,0,0,0,0,145,0.18383358,3.1,2.81,2.28,3,824,Normal
3650,290,0.31,0,0,0,0,0,0,0,0,269,0.34097806,2.93,2.78,2.28,2,770,Normal
3650,290,0.31,9,1893,6,423,0,0,0,0,267,0.33775604,2.72,2.74,2.27,3,781,Normal
3650,290,0.31,13,4620,9,770,0,0,0,0,267,0.33796325,2.45,2.68,2.26,3,781,Normal
3650,290,0.31,9,5571,9,845,0,0,0,0,269,0.3400603,2.3,2.64,2.25,1,781,Normal
3650,290,0.31,12,7868,11,1001,0,0,0,0,269,0.33985305,2.48,2.67,2.26,1,781,Normal
3686,298,0.3,34,12926,28,6383,0,0,0,0,262,0.3313317,2.57,2.68,2.27,1,786,Normal
3686,298,0.3,8,13510,8,1057,0,0,0,0,262,0.33135143,2.4,2.64,2.26,3,787,Normal
3686,298,0.3,22,17396,15,6995,0,0,0,0,261,0.33083826,2.29,2.61,2.26,231,784,Normal
3686,298,0.3,3,17743,3,341,0,0,0,0,263,0.3329304,2.67,2.69,2.28,226,786,Normal
3686,298,0.3,1,17813,1,150,0,0,0,0,263,0.33270833,2.67,2.69,2.28,226,788,Normal
3686,298,0.3,1,17883,1,134,0,0,0,0,263,0.33262447,2.53,2.66,2.27,1,789,Normal
3686,298,0.3,5,18221,5,297,0,0,0,0,263,0.3331524,2.49,2.65,2.27,3,789,Normal
